mingcheng,neirong,pingfen,renshu
欲海情魔 Mildred Pierce,导演: 迈克尔·柯蒂兹 主演: 琼·克劳馥 / 杰克·卡森 / 扎查瑞·斯考特 类型: 剧情 / 黑色电影 / 悬疑 / 爱情 制片国家/地区: 美国 年份: 1945,7.7,(2719人评价)
绅士爱美人 Gentlemen Prefer Blondes,导演: 霍华德·霍克斯 主演: 简·拉塞尔 / 玛丽莲·梦露 / 查尔斯·科本 类型: 喜剧 / 剧情 / 歌舞 / 爱情 制片国家/地区: 美国 年份: 1953,7.9,(6716人评价)
近松物语 近松物語,导演: 沟口健二 主演: 长谷川一夫 / 香川京子 / 进藤英太郎 类型: 剧情 / 爱情 制片国家/地区: 日本 年份: 1954,8.3,(4052人评价)
艾德·伍德 Ed Wood,导演: 蒂姆·波顿 主演: 约翰尼·德普 / 莎拉·杰茜卡·帕克 / 比尔·默瑞 类型: 传记 / 喜剧 / 剧情 制片国家/地区: 美国 年份: 1994,8.2,(24786人评价)
,,,
休假日 Holiday,导演: 乔治·库克 主演: 凯瑟琳·赫本 / 加里·格兰特 / 多蕊丝·诺兰 类型: 喜剧 / 爱情 制片国家/地区: 美国 年份: 1938,7.0,(523人评价)
,,,
,,,
,,,
,,,
骗中骗 The Sting,导演: 乔治·罗伊·希尔 主演: 保罗·纽曼 / 罗伯特·雷德福 / 罗伯特·肖 类型: 剧情 / 喜剧 / 犯罪 制片国家/地区: 美国 年份: 1973,8.7,(47056人评价)
证人 Witness,导演: 彼得·威尔 主演: 哈里森·福特 / 凯莉·麦吉利斯 / 约瑟夫·索默 类型: 剧情 / 爱情 / 惊悚 制片国家/地区: 美国 年份: 1985,7.2,(4537人评价)
洛基恐怖秀 The Rocky Horror Picture Show,导演: 吉姆·沙曼 主演: 蒂姆·克里 / 理查德·奥布里恩 / 帕特里夏·奎因 类型: 喜剧 / 歌舞 制片国家/地区: 英国/美国 年份: 1975,8.1,(21717人评价)
,,,
,,,
,,,
陆军野战医院 MASH,导演: 罗伯特·奥特曼 主演: 唐纳德·萨瑟兰 / 埃利奥特·古尔德 / 汤姆·斯凯里特 类型: 喜剧 / 战争 / 剧情 制片国家/地区: 美国 年份: 1970,7.9,(8305人评价)
,,,
中央车站 Central do Brasil,导演: 沃尔特·塞勒斯 主演: 费尔兰德·蒙特纳哥 / 马里利娅·佩拉 / 文尼西斯·狄·奥利维拉 类型: 剧情 制片国家/地区: 巴西/法国 年份: 1998,8.7,(96259人评价)
教父3 The Godfather: Part III,导演: 弗朗西斯·福特·科波拉 主演: 阿尔·帕西诺 / 黛安·基顿 / 塔莉娅·夏尔 类型: 剧情 / 犯罪 制片国家/地区: 美国 年份: 1990,9.0,(311666人评价)
,,,
,,,
,,,
,,,
,,,
,,,
诗人之血 Le Sang d'un Poète,导演: 让·科克托 主演: 恩里克·里韦罗斯 / 伊丽莎白·李·米勒 / 波利娜·卡尔东 类型: 剧情 / 奇幻 制片国家/地区: 法国 年份: 1932,8.3,(5435人评价)
稻草人 Scarecrow,导演: 杰瑞·沙茨伯格 主演: 吉恩·哈克曼 / 阿尔·帕西诺 / 多萝西·特里斯坦 类型: 剧情 制片国家/地区: 美国 年份: 1973,7.9,(2543人评价)
,,,
,,,
,,,
蓝白红三部曲之白 Trois couleurs: Blanc,导演: 克日什托夫·基耶斯洛夫斯基 主演: 泽比纽·扎马洲斯基 / 朱莉·德尔佩 / 扬努斯·加约斯 类型: 喜剧 / 剧情 / 悬疑 / 爱情 制片国家/地区: 法国/波兰/瑞士 年份: 1994,8.4,(89520人评价)
,,,
,,,
曲终梦回 The Tales of Hoffmann,导演: 迈克尔·鲍威尔 / 埃默里克·普雷斯伯格 主演: 莫伊拉·希勒 / 露德米拉.车娜 / 安·阿亚尔斯 类型: 冒险 / 奇幻 / 音乐 / 歌舞 / 爱情 制片国家/地区: 英国 年份: 1951,7.7,(1080人评价)
菊豆,导演: 张艺谋 / 杨凤良 主演: 巩俐 / 李保田 / 李纬 类型: 剧情 制片国家/地区: 中国大陆/日本 年份: 1990,8.1,(84631人评价)
,,,
女人就是女人 Une femme est une femme,导演: 让-吕克·戈达尔 主演: 让-克洛德·布里亚利 / 安娜·卡里娜 / 让-保罗·贝尔蒙多 类型: 喜剧 / 剧情 / 歌舞 / 爱情 制片国家/地区: 法国/意大利 年份: 1961,8.1,(7925人评价)
,,,
,,,
,,,
,,,
,,,
,,,
,,,
圣诞夜惊魂 The Nightmare Before Christmas,导演: 亨利·塞利克 主演: 丹尼·艾夫曼 / 克里斯·萨兰登 / 凯瑟琳·欧哈拉 类型: 动画 / 奇幻 / 音乐 制片国家/地区: 美国 年份: 1993,8.2,(99514人评价)
,,,
,,,
星尘往事 Stardust Memories,导演: 伍迪·艾伦 主演: 伍迪·艾伦 / 夏洛特·兰普林 / 杰西卡·哈珀 类型: 喜剧 / 剧情 制片国家/地区: 美国 年份: 1980,8.1,(6289人评价)
,,,
廊桥遗梦 The Bridges of Madison County,导演: 克林特·伊斯特伍德 主演: 克林特·伊斯特伍德 / 梅丽尔·斯特里普 / 安妮·科利 类型: 剧情 / 爱情 制片国家/地区: 美国 年份: 1995,8.7,(191634人评价)
,,,
,,,
从海底出击 Das Boot,导演: 沃尔夫冈·彼德森 主演: 尤尔根·普洛斯诺 / 赫贝特·格勒内梅厄 / Klaus Wennemann 类型: 剧情 / 历史 / 战争 / 冒险 制片国家/地区: 西德 年份: 1981,9.1,(35551人评价)
,,,
逃犯贝贝 Pépé le Moko,导演: 朱利安·杜维威尔 主演: 让·迦本 / 盖布瑞·加布埃尔 / 萨蒂南·法布尔 类型: 犯罪 / 剧情 / 爱情 制片国家/地区: 法国 年份: 1937,7.3,(2104人评价)
死亡诗社 Dead Poets Society,导演: 彼得·威尔 主演: 罗宾·威廉姆斯 / 罗伯特·肖恩·莱纳德 / 伊桑·霍克 类型: 剧情 制片国家/地区: 美国 年份: 1989,9.1,(607712人评价)
,,,
堕落的偶像 The Fallen Idol,导演: 卡罗尔·里德 主演: 拉尔夫·理查德森 / 米歇尔·摩根 / 索尼娅·德雷斯戴尔 类型: 剧情 / 悬疑 / 惊悚 制片国家/地区: 英国 年份: 1948,7.8,(2063人评价)
,,,
,,,
,,,
,,,
,,,
史崔特先生的故事 The Straight Story,导演: 大卫·林奇 主演: 茜茜·斯派塞克 / Jane Galloway Heitz / Joseph A. Carpenter 类型: 剧情 / 传记 制片国家/地区: 法国/英国/美国 年份: 1999,8.5,(25924人评价)
